Move,Command,Startup,Active,Recovery,Total,Total,HIT ADV,CH ADV,BLK ADV,HIT DMG,HIT STUN,CH DMG,CH STUN,BLK DMG,NOTE,HIT TYPE,HIT KDR,HIT KDBR,HIT KD,CH TYPE,CH ADV,CH KDR,CH KDBR,CH KD,EX-,EX+,VR-,VT-,HIT EX1,HIT VR1,HIT EX2,HIT VR2,CH EX1,CH VR1,CH EX2,CH VR2,BLK EX1,BLK VR1,BLK EX2,BLK VR2
Wingless Airplane KK,qcf+kk,5,11,37,52,52,KD,KD,KD,162,200,162,200,162,,HIT,20,20,69,CH,KD,20,20,69,300,,,,,,36,218,,,36,218,,,36,218
Rainbow Typhoon LP,hcb+LP,5,2,52,58,58,KD,KD,KD,162,200,162,200,162,RANGE 1.2007-1.2014,HIT,11,11,70,CH,KD,11,11,70,,20,,,120,,60,218,120,,60,218,120,,60,218
Rainbow Typhoon MP,hcb+MP,5,2,52,58,,KD,KD,KD,172,200,172,200,172,RANGE 1.1507-1.1514,HIT,11,11,70,CH,KD,11,11,70,,20,,,120,,60,232,120,,60,232,120,,60,232
Rainbow Typhoon HP,hcb+HP,5,2,52,58,,KD,KD,KD,182,200,182,200,182,RANGE 1.1007-1.1014,HIT,11,11,70,CH,KD,11,11,70,,20,,,120,,60,245,120,,60,245,120,,60,245
Rainbow Typhoon PP,hcb+PPP,5,2,52,58,,KD,KD,KD,222,250,222,250,222,RANGE 1.3096-1.3100,HIT,15,15,15,CH,KD,15,15,15,300,,,,,,48,299,,,48,299,,,48,299
Brimstone LK,hcb+LK,5,2,52,58,58,KD,KD,KD,121,150,121,150,121,RANGE 1.0007-1.0014,HIT,20,20,69,CH,KD,20,20,69,,20,,,100,,48,163,100,,48,163,100,,48,163
Brimstone MK,hcb+MK,5,2,52,58,,KD,KD,KD,131,150,131,150,131,RANGE 0.9507-0.9514,HIT,20,20,69,CH,KD,20,20,69,,20,,,100,,48,176,100,,48,176,100,,48,176
Brimstone HK,hcb+HK,5,2,52,58,,KD,KD,KD,141,150,141,150,141,RANGE 0.9007-0.9014,HIT,20,20,69,CH,KD,20,20,69,,20,,,100,,48,190,100,,48,190,100,,48,190
Brimstone KK,hcb+KKK,5,2,52,58,,KD,KD,KD,182,200,182,200,182,RANGE 1.1096-1.1200,HIT,21,21,21,CH,KD,21,21,21,300,,,,,,48,245,,,48,245,,,48,245
Critical Art,"qcf,qcf+p",3,2,51,55,55,KD,KD,KD,364,0,364,0,364,RANGE 1.6125-1.6217,HIT,26,26,75,CH,KD,26,26,75,900,,,,,,100,491,,,100,491,,,100,491
Taunt,5PPPKKK,61,,,61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,1000,61,,,61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
